gene,Position,Gene synonym,Ensembl,Gene description
ABCB11,chr2:168915498-169031324,"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP",ENSG00000073734,ATP binding cassette subfamily B member 11
ABCB4,chr7:87401696-87480435,"GBD1, MDR2, MDR3, PFIC-3, PGY3",ENSG00000005471,ATP binding cassette subfamily B member 4
ABCB5,chr7:20615667-20777038,"ABCB5alpha, ABCB5beta, EST422562",ENSG00000004846,ATP binding cassette subfamily B member 5
ABCB6,chr2:219209772-219218994,"EST45597, MTABC3, umat",ENSG00000115657,ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7,chrX:75051048-75156732,"ABC7, ASAT, Atm1p, EST140535",ENSG00000131269,ATP binding cassette subfamily B member 7
ABCB8,chr7:151028422-151047782,"EST328128, M-ABC1, MABC1, MITOSUR",ENSG00000197150,ATP binding cassette subfamily B member 8
ABCB9,chr12:122920951-122981649,EST122234,ENSG00000150967,ATP binding cassette subfamily B member 9
ABCC1,chr16:15949138-16143257,"GS-X, MRP, MRP1",ENSG00000103222,ATP binding cassette subfamily C member 1
ABCC10,chr6:43427366-43450427,"EST182763, MRP7, SIMRP7",ENSG00000124574,ATP binding cassette subfamily C member 10
ABCC11,chr16:48165773-48247568,MRP8,ENSG00000121270,ATP binding cassette subfamily C member 11
ABCC12,chr16:48080882-48156018,MRP9,ENSG00000140798,ATP binding cassette subfamily C member 12
ABCC2,chr10:99782640-99852594,"CMOAT, cMRP, DJS, MRP2",ENSG00000023839,ATP binding cassette subfamily C member 2
ABCC3,chr17:50634777-50692253,"cMOAT2, EST90757, MLP2, MOAT-D, MRP3",ENSG00000108846,ATP binding cassette subfamily C member 3
ABCC4,chr13:95019835-95301475,"EST170205, MOAT-B, MOATB, MRP4",ENSG00000125257,ATP binding cassette subfamily C member 4
ABCC5,chr3:183919934-184017939,"EST277145, MOAT-C, MRP5, SMRP",ENSG00000114770,ATP binding cassette subfamily C member 5
ABCC6,chr16:16149565-16223522,"ARA, EST349056, MLP1, MRP6, PXE, URG7",ENSG00000091262,ATP binding cassette subfamily C member 6
ABCC8,chr11:17392498-17476894,"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2",ENSG00000006071,ATP binding cassette subfamily C member 8
ABCC9,chr12:21797389-21942543,"CMD1O, SUR2",ENSG00000069431,ATP binding cassette subfamily C member 9
ABCD1,chrX:153724856-153744755,"adrenoleukodystrophy, ALD, ALDP, AMN",ENSG00000101986,ATP binding cassette subfamily D member 1
ABCD2,chr12:39550033-39619803,"ALDL1, ALDR, ALDRP",ENSG00000173208,ATP binding cassette subfamily D member 2
ABCD3,chr1:94418389-94518666,"PMP70, PXMP1, ZWS2",ENSG00000117528,ATP binding cassette subfamily D member 3
ABCD4,chr14:74285269-74303055,"EST352188, P70R, PMP69, PXMP1L",ENSG00000119688,ATP binding cassette subfamily D member 4
ABCE1,chr4:145098288-145129524,"OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I",ENSG00000164163,ATP binding cassette subfamily E member 1
ABCF1,chr6:30571393-30597179,"ABC50, EST123147",ENSG00000204574,ATP binding cassette subfamily F member 1
ABCF2,chr7:151211484-151227205,"ABC28, EST133090, HUSSY-18, M-ABC1",ENSG00000033050,ATP binding cassette subfamily F member 2
ABCF2-H2BK1,chr7:151207837-151227166,ABCF2-H2BE1,ENSG00000285292,ABCF2-H2BK1 readthrough
ABCF3,chr3:184186095-184194012,EST201864,ENSG00000161204,ATP binding cassette subfamily F member 3
ABCG1,chr21:42199689-42297244,ABC8,ENSG00000160179,ATP binding cassette subfamily G member 1
ABCG2,chr4:88090150-88231628,"ABCP, BCRP, CD338, EST157481, MXR",ENSG00000118777,ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4,chr11:119149052-119162653,WHITE2,ENSG00000172350,ATP binding cassette subfamily G member 4
ABCG5,chr2:43812472-43838865,STSL,ENSG00000138075,ATP binding cassette subfamily G member 5
ABCG8,chr2:43831942-43882988,GBD4,ENSG00000143921,ATP binding cassette subfamily G member 8
ABHD1,chr2:27123789-27130812,"FLJ36128, LABH1",ENSG00000143994,Abhydrolase domain containing 1
ABHD10,chr3:111979010-111993368,FLJ11342,ENSG00000144827,"Abhydrolase domain containing 10, depalmitoylase"
ABHD11,chr7:73736094-73738852,"PP1226, WBSCR21",ENSG00000106077,Abhydrolase domain containing 11
ABHD12,chr20:25294742-25390835,"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106",ENSG00000100997,"Abhydrolase domain containing 12, lysophospholipase"
ABHD12B,chr14:50872053-50904970,"BEM46L3, C14orf29",ENSG00000131969,Abhydrolase domain containing 12B
ABHD13,chr13:108218392-108234243,"bA153I24.2, BEM46L1, C13orf6, FLJ14906",ENSG00000139826,Abhydrolase domain containing 13
ABHD14A,chr3:51971426-51981196,"DKFZP564O243, DORZ1",ENSG00000248487,Abhydrolase domain containing 14A
ABHD14A-ACY1,chr3:51974706-51989183,NA,ENSG00000114786,ABHD14A-ACY1 readthrough
ABHD14B,chr3:51968510-51983409,"CIB, MGC15429",ENSG00000114779,Abhydrolase domain containing 14B
ABHD15,chr17:29560547-29567037,NA,ENSG00000168792,Abhydrolase domain containing 15
ABHD16A,chr6:31686955-31703356,"BAT5, D6S82E, NG26",ENSG00000204427,"Abhydrolase domain containing 16A, phospholipase"
ABHD16B,chr20:63861498-63862988,"C20orf135, dJ591C20.1",ENSG00000183260,Abhydrolase domain containing 16B
ABHD17A,chr19:1876810-1885496,"C19orf27, FAM108A1, MGC5244",ENSG00000129968,"Abhydrolase domain containing 17A, depalmitoylase"
ABHD17B,chr9:71862452-71911193,"C9orf77, CGI-67, FAM108B1",ENSG00000107362,"Abhydrolase domain containing 17B, depalmitoylase"
ABHD17C,chr15:80679684-80755621,FAM108C1,ENSG00000136379,"Abhydrolase domain containing 17C, depalmitoylase"
ABHD18,chr4:127965306-128039953,"C4orf29, FLJ21106",ENSG00000164074,Abhydrolase domain containing 18
ABHD2,chr15:89087459-89202355,LABH2,ENSG00000140526,"Abhydrolase domain containing 2, acylglycerol lipase"
ABHD3,chr18:21650901-21704780,LABH3,ENSG00000158201,"Abhydrolase domain containing 3, phospholipase"
ABHD4,chr14:22598290-22612963,FLJ12816,ENSG00000100439,"Abhydrolase domain containing 4, N-acyl phospholipase B"
ABHD5,chr3:43690108-43734371,"CGI-58, NCIE2",ENSG00000011198,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ABHD6,chr3:58237532-58295693,NA,ENSG00000163686,"Abhydrolase domain containing 6, acylglycerol lipase"
ABHD8,chr19:17292131-17310236,"FLJ11743, MGC14280, MGC2512",ENSG00000127220,Abhydrolase domain containing 8
ABI1,chr10:26746593-26861087,"ABI-1, E3B1, SSH3BP1",ENSG00000136754,Abl interactor 1
ABI2,chr2:203328280-203447728,"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2",ENSG00000138443,Abl interactor 2
ABI3,chr17:49210411-49223225,"NESH, SSH3BP3",ENSG00000108798,ABI family member 3
ABI3BP,chr3:100749156-100993515,"DKFZP586L2024, NESHBP, TARSH",ENSG00000154175,ABI family member 3 binding protein
ABITRAM,chr9:108934400-108950744,"C9orf6, CG-8, FAM206A, FLJ20457, Simiate",ENSG00000119328,Actin binding transcription modulator
ABL1,chr9:130713043-130887675,"ABL, c-ABL, JTK7, p150",ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,chr1:179099330-179229684,"ABLL, ARG",ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABLIM1,chr10:114431112-114768061,"ABLIM, LIMAB1, limatin",ENSG00000099204,Actin binding LIM protein 1
ABLIM2,chr4:7965310-8158832,KIAA1808,ENSG00000163995,Actin binding LIM protein family member 2
ABLIM3,chr5:149141483-149260542,KIAA0843,ENSG00000173210,Actin binding LIM protein family member 3
ABO,chr9:133233278-133276024,"A3GALNT, A3GALT1",ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
ABR,chr17:1003519-1229738,MDB,ENSG00000159842,ABR activator of RhoGEF and GTPase
ABRA,chr8:106759483-106770244,STARS,ENSG00000174429,Actin binding Rho activating protein
ABRACL,chr6:139028745-139043302,"C6orf115, Costars, HSPC280, PRO2013",ENSG00000146386,ABRA C-terminal like
ABRAXAS1,chr4:83459517-83523348,"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614",ENSG00000163322,"Abraxas 1, BRCA1 A complex subunit"
ABRAXAS2,chr10:124801819-124836667,"ABRO1, Em:AC068896.4, FAM175B, KIAA0157",ENSG00000165660,"Abraxas 2, BRISC complex subunit"
ABT1,chr6:26596953-26600739,Esf2,ENSG00000146109,Activator of basal transcription 1
ABTB1,chr3:127672935-127680926,"BPOZ, Btb3, BTBD21, EF1ABP",ENSG00000114626,Ankyrin repeat and BTB domain containing 1
ABTB2,chr11:34150987-34358010,"ABTB2A, BTBD22, DKFZP586C1619",ENSG00000166016,Ankyrin repeat and BTB domain containing 2
ABTB3,chr12:107318421-107659642,"ABTB2B, BTBD11, FLJ33957",ENSG00000151136,Ankyrin repeat and BTB domain containing 3
ACAA1,chr3:38103129-38137242,Lnc-Myd88,ENSG00000060971,Acetyl-CoA acyltransferase 1
ACAA2,chr18:49782164-49813953,DSAEC,ENSG00000167315,Acetyl-CoA acyltransferase 2
ACACA,chr17:37084992-37406836,"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1",ENSG00000278540,Acetyl-CoA carboxylase alpha
ACACB,chr12:109116587-109268226,"ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275",ENSG00000076555,Acetyl-CoA carboxylase beta
ACAD10,chr12:111686053-111757107,MGC5601,ENSG00000111271,Acyl-CoA dehydrogenase family member 10
ACAD11,chr3:132558138-132660082,FLJ12592,ENSG00000240303,Acyl-CoA dehydrogenase family member 11
ACAD8,chr11:134253548-134265855,NA,ENSG00000151498,Acyl-CoA dehydrogenase family member 8
ACAD9,chr3:128879596-128924003,"MGC14452, NPD002",ENSG00000177646,Acyl-CoA dehydrogenase family member 9
ACADL,chr2:210187126-210225447,"ACAD4, LCAD",ENSG00000115361,Acyl-CoA dehydrogenase long chain
ACADM,chr1:75724431-75787575,"ACAD1, MCAD, MCADH",ENSG00000117054,Acyl-CoA dehydrogenase medium chain
ACADS,chr12:120725774-120740008,"ACAD3, SCAD",ENSG00000122971,Acyl-CoA dehydrogenase short chain
ACADSB,chr10:123008979-123058290,"ACAD7, SBCAD",ENSG00000196177,Acyl-CoA dehydrogenase short/branched chain
ACADVL,chr17:7217125-7225266,"ACAD6, LCACD, VLCAD",ENSG00000072778,Acyl-CoA dehydrogenase very long chain
ACAN,chr15:88803436-88875353,"AGC1, CSPG1, CSPGCP, MSK16",ENSG00000157766,Aggrecan
ACAP1,chr17:7336529-7351477,"CENTB1, KIAA0050",ENSG00000072818,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ACAP2,chr3:195274745-195443044,"CENTB2, CNT-B2, KIAA0041",ENSG00000114331,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP3,chr1:1292390-1309609,"CENTB5, KIAA1716",ENSG00000131584,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ACAT1,chr11:108116695-108147603,"ACAT, THIL",ENSG00000075239,Acetyl-CoA acetyltransferase 1
ACAT2,chr6:159762045-159779112,NA,ENSG00000120437,Acetyl-CoA acetyltransferase 2
ACBD3,chr1:226144679-226186741,"GCP60, GOCAP1, GOLPH1, PAP7",ENSG00000182827,Acyl-CoA binding domain containing 3
ACBD4,chr17:45132600-45144181,FLJ13322,ENSG00000181513,Acyl-CoA binding domain containing 4
ACBD5,chr10:27168135-27243046,"DKFZp434A2417, KIAA1996",ENSG00000107897,Acyl-CoA binding domain containing 5
ACBD6,chr1:180269653-180502954,MGC2404,ENSG00000230124,Acyl-CoA binding domain containing 6
ACBD7,chr10:15075475-15088776,"bA455B2.2, FLJ38219",ENSG00000176244,Acyl-CoA binding domain containing 7
ACCS,chr11:44065925-44084237,"ACS, PHACS",ENSG00000110455,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL,chr11:44047981-44059977,NA,ENSG00000205126,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACD,chr16:67657512-67660810,"Pip1, Ptop, Tint1, Tpp1",ENSG00000102977,ACD shelterin complex subunit and telomerase recruitment factor
ACE,chr17:63477061-63498380,"ACE1, CD143, DCP1",ENSG00000159640,Angiotensin I converting enzyme
ACE2,chrX:15494566-15607236,ACEH,ENSG00000130234,Angiotensin converting enzyme 2
ACER1,chr19:6306142-6333612,ASAH3,ENSG00000167769,Alkaline ceramidase 1
ACER2,chr9:19409009-19452505,"ALKCDase2, ASAH3L, FLJ41587",ENSG00000177076,Alkaline ceramidase 2
ACER3,chr11:76860859-77026797,"APHC, FLJ11238, PHCA",ENSG00000078124,Alkaline ceramidase 3
ACHE,chr7:100889994-100896974,YT,ENSG00000087085,Acetylcholinesterase (Cartwright blood group)
ACIN1,chr14:23058564-23095614,"ACINUS, fSAP152, KIAA0670",ENSG00000100813,Apoptotic chromatin condensation inducer 1
ACKR1,chr1:159203307-159206500,"CCBP1, CD234, DARC, Dfy, FY, GPD",ENSG00000213088,Atypical chemokine receptor 1 (Duffy blood group)
ACKR2,chr3:42804752-42887974,"CCBP2, CCR10, CCR9, CMKBR9, D6",ENSG00000144648,Atypical chemokine receptor 2
ACKR3,chr2:236567787-236582354,"CMKOR1, CXCR7, GPR159, RDC1",ENSG00000144476,Atypical chemokine receptor 3
ACKR4,chr3:132597270-132618967,"CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1",ENSG00000129048,Atypical chemokine receptor 4
ACLY,chr17:41866917-41930542,"ACL, ATPCL, CLATP",ENSG00000131473,ATP citrate lyase
ACMSD,chr2:134838616-134902034,NA,ENSG00000153086,Aminocarboxymuconate semialdehyde decarboxylase
ACO1,chr9:32384603-32454769,"IREB1, IREBP, IRP1",ENSG00000122729,Aconitase 1
ACO2,chr22:41447830-41529273,ACONM,ENSG00000100412,Aconitase 2
ACOD1,chr13:76948511-76958638,"CAD, IRG1",ENSG00000102794,Aconitate decarboxylase 1
ACOT1,chr14:73537143-73543796,"ACH2, CTE-1, LACH2",ENSG00000184227,Acyl-CoA thioesterase 1
ACOT11,chr1:54542257-54639192,"BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1",ENSG00000162390,Acyl-CoA thioesterase 11
ACOT12,chr5:81329996-81394179,"Cach, STARD15, THEAL",ENSG00000172497,Acyl-CoA thioesterase 12
ACOT13,chr6:24667035-24705065,"HT012, THEM2",ENSG00000112304,Acyl-CoA thioesterase 13
ACOT2,chr14:73567620-73575658,"Mte1, ZAP128",ENSG00000119673,Acyl-CoA thioesterase 2
ACOT4,chr14:73591873-73595766,"FLJ31235, PTE-Ib, PTE2B",ENSG00000177465,Acyl-CoA thioesterase 4
ACOT6,chr14:73610945-73619888,C14orf42,ENSG00000205669,Acyl-CoA thioesterase 6
ACOT7,chr1:6264269-6393767,"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126",ENSG00000097021,Acyl-CoA thioesterase 7
ACOT8,chr20:45841721-45857405,"hACTE-III, hTE, NAP1, PTE-2, PTE1",ENSG00000101473,Acyl-CoA thioesterase 8
ACOT9,chrX:23701055-23766475,"ACATE2, CGI-16, MT-ACT48",ENSG00000123130,Acyl-CoA thioesterase 9
ACOX1,chr17:75941507-75979177,PALMCOX,ENSG00000161533,Acyl-CoA oxidase 1
ACOX2,chr3:58505136-58537283,"BRCACOX, BRCOX, THCCox",ENSG00000168306,Acyl-CoA oxidase 2
ACOX3,chr4:8366282-8440723,NA,ENSG00000087008,"Acyl-CoA oxidase 3, pristanoyl"
ACOXL,chr2:110732539-111118548,FLJ11042,ENSG00000153093,Acyl-CoA oxidase like
ACP1,chr2:264140-278283,"HAAP, LMW-PTP, LMWPTP",ENSG00000143727,Acid phosphatase 1
ACP2,chr11:47239302-47248906,LAP,ENSG00000134575,"Acid phosphatase 2, lysosomal"
ACP3,chr3:132317369-132368302,"ACP-3, ACPP, PAP, TM-PAP",ENSG00000014257,Acid phosphatase 3
ACP4,chr19:50790415-50795219,ACPT,ENSG00000142513,Acid phosphatase 4
ACP5,chr19:11574653-11579993,"HPAP, TRAcP, TRAP",ENSG00000102575,"Acid phosphatase 5, tartrate resistant"
ACP6,chr1:147629652-147670524,"ACPL1, LPAP",ENSG00000162836,"Acid phosphatase 6, lysophosphatidic"
ACP7,chr19:39083913-39111493,"FLJ16165, PAPL, PAPL1",ENSG00000183760,"Acid phosphatase 7, tartrate resistant (putative)"
ACR,chr22:50738196-50745339,NA,ENSG00000100312,Acrosin
ACRBP,chr12:6638075-6647433,"CT23, OY-TES-1, SP32",ENSG00000111644,Acrosin binding protein
ACRV1,chr11:125671522-125680874,"D11S4365, SP-10, SPACA2",ENSG00000134940,Acrosomal vesicle protein 1
ACSBG1,chr15:78167468-78245688,"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352",ENSG00000103740,Acyl-CoA synthetase bubblegum family member 1
ACSBG2,chr19:6135247-6193094,"BGR, DKFZp434K1635, PRTD-NY3",ENSG00000130377,Acyl-CoA synthetase bubblegum family member 2
ACSF2,chr17:50426158-50474845,"ACSMW, FLJ20920",ENSG00000167107,Acyl-CoA synthetase family member 2
ACSF3,chr16:89088375-89164121,NA,ENSG00000176715,Acyl-CoA synthetase family member 3
ACSL1,chr4:184755595-184826818,"ACS1, FACL1, FACL2, LACS, LACS1, LACS2",ENSG00000151726,Acyl-CoA synthetase long chain family member 1
ACSL3,chr2:222860942-222944639,"ACS3, FACL3, PRO2194",ENSG00000123983,Acyl-CoA synthetase long chain family member 3
ACSL4,chrX:109624244-109733403,"ACS4, FACL4, LACS4, MRX63, MRX68",ENSG00000068366,Acyl-CoA synthetase long chain family member 4
ACSL5,chr10:112374116-112428379,"ACS2, ACS5, FACL5",ENSG00000197142,Acyl-CoA synthetase long chain family member 5
ACSL6,chr5:131949973-132012243,"ACS2, FACL6, KIAA0837, LACS2, LACS5",ENSG00000164398,Acyl-CoA synthetase long chain family member 6
ACSM1,chr16:20623235-20698890,"BUCS1, MACS1",ENSG00000166743,Acyl-CoA synthetase medium chain family member 1
ACSM2A,chr16:20451461-20487669,"A-923A4.1, ACSM2, MGC150530",ENSG00000183747,Acyl-CoA synthetase medium chain family member 2A
ACSM2B,chr16:20536226-20576427,"ACSM2, HXMA, HYST1046",ENSG00000066813,Acyl-CoA synthetase medium chain family member 2B
ACSM3,chr16:20610243-20797581,"SA, SAH",ENSG00000005187,Acyl-CoA synthetase medium chain family member 3
ACSM4,chr12:7304072-7328719,NA,ENSG00000215009,Acyl-CoA synthetase medium chain family member 4
ACSM5,chr16:20409534-20441336,FLJ20581,ENSG00000183549,Acyl-CoA synthetase medium chain family member 5
ACSM6,chr10:95194200-95228929,"bA310E22.3, C10orf129",ENSG00000173124,Acyl-CoA synthetase medium chain family member 6
ACSS1,chr20:25006230-25058980,"ACAS2L, AceCS2L, dJ568C11.3, MGC33843",ENSG00000154930,Acyl-CoA synthetase short chain family member 1
ACSS2,chr20:34872146-34927962,"ACAS2, AceCS, ACS, ACSA, dJ1161H23.1",ENSG00000131069,Acyl-CoA synthetase short chain family member 2
ACSS3,chr12:80936414-81261210,FLJ21963,ENSG00000111058,Acyl-CoA synthetase short chain family member 3
ACTA1,chr1:229430365-229434104,"ACTA, NEM3",ENSG00000143632,"Actin alpha 1, skeletal muscle"
ACTA2,chr10:88935074-88991339,ACTSA,ENSG00000107796,"Actin alpha 2, smooth muscle"
ACTB,chr7:5526409-5563902,NA,ENSG00000075624,Actin beta
ACTBL2,chr5:57480018-57482811,DKFZp686D0972,ENSG00000169067,Actin beta like 2
ACTC1,chr15:34790230-34795549,"ACTC, CMD1R",ENSG00000159251,Actin alpha cardiac muscle 1
ACTG1,chr17:81509413-81523847,"ACTG, DFNA20, DFNA26",ENSG00000184009,Actin gamma 1
ACTG2,chr2:73892314-73919865,"ACTA3, ACTL3, ACTSG",ENSG00000163017,"Actin gamma 2, smooth muscle"
ACTL10,chr20:33666943-33668525,C20orf134,ENSG00000288649,Actin like 10
ACTL6A,chr3:179562886-179588407,"Actl6, Arp4, BAF53A, INO80K, SMARCN1",ENSG00000136518,Actin like 6A
ACTL6B,chr7:100643097-100656448,"ACTL6, BAF53B, SMARCN2",ENSG00000077080,Actin like 6B
ACTL7A,chr9:108862266-108863756,NA,ENSG00000187003,Actin like 7A
ACTL7B,chr9:108854588-108855986,Tact1,ENSG00000148156,Actin like 7B
ACTL8,chr1:17755333-17827063,CT57,ENSG00000117148,Actin like 8
ACTL9,chr19:8697400-8698795,MGC33407,ENSG00000181786,Actin like 9
ACTN1,chr14:68874128-68979440,NA,ENSG00000072110,Actinin alpha 1
ACTN2,chr1:236664141-236764631,NA,ENSG00000077522,Actinin alpha 2
ACTN3,chr11:66546395-66563334,NA,ENSG00000248746,Actinin alpha 3
ACTN4,chr19:38647649-38731589,FSGS1,ENSG00000130402,Actinin alpha 4
ACTR10,chr14:58200080-58235636,"ACTR11, Arp10, Arp11, HARP11",ENSG00000131966,Actin related protein 10
ACTR1A,chr10:102461881-102502712,"ARP1, Arp1A",ENSG00000138107,Actin related protein 1A
ACTR1B,chr2:97655939-97664044,"Arp1B, CTRN2",ENSG00000115073,Actin related protein 1B
ACTR2,chr2:65227788-65271253,ARP2,ENSG00000138071,Actin related protein 2
ACTR3,chr2:113890063-113962596,ARP3,ENSG00000115091,Actin related protein 3
ACTR3B,chr7:152759749-152855378,"ARP11, ARP3beta",ENSG00000133627,Actin related protein 3B
ACTR3C,chr7:150243916-150323725,ARP11,ENSG00000106526,Actin related protein 3C
ACTR5,chr20:38748460-38772520,"Arp5, FLJ12785, INO80M",ENSG00000101442,Actin related protein 5
ACTR6,chr12:100199122-100241865,"ARP6, FLJ13433",ENSG00000075089,Actin related protein 6
ACTR8,chr3:53867066-53882152,"ARP8, INO80N",ENSG00000113812,Actin related protein 8
ACTRT1,chrX:128050962-128052403,"AIP1, ARIP1, Arp-T1, KIAA0705",ENSG00000123165,Actin related protein T1
ACTRT2,chr1:3021467-3022903,"ACTRT2, Arp-T2, ARPM2, FLJ25424",ENSG00000169717,Actin related protein T2
